date,selection_reason,response_records,reported_dates,daily_price_present,daily_close,put_candidates,call_candidates,selected_put,selected_call,required_invalid,market_invalid,exclusions,api_note
2025-04-04,Tensión: venta global posterior a anuncios arancelarios de EE. UU.,10376,"{""2025-04-04"": 10376}",True,505.2800,90,134,SPY250430P00470000; DTE=26; delta=-0.25088; IV=0.46365; |Δ error|=0.00088; |DTE−30|=4,SPY250502C00540000; DTE=28; delta=0.25002; IV=0.31731; |Δ error|=2e-05; |DTE−30|=2,{},{},"{""DTE_outside_21_45"": 8758, ""delta_outside_tolerance"": 1394}",
2025-01-17,Contraste reciente: entorno relativamente tranquilo de comienzos de año.,9410,"{""2025-01-17"": 9410}",True,597.5800,89,45,SPY250221P00582000; DTE=35; delta=-0.24976; IV=0.15146; |Δ error|=0.00024; |DTE−30|=5,SPY250221C00615000; DTE=35; delta=0.24553; IV=0.11244; |Δ error|=0.00447; |DTE−30|=5,{},{},"{""DTE_outside_21_45"": 8230, ""delta_outside_tolerance"": 1046}",
2024-08-05,Tensión: episodio de volatilidad global de inicios de agosto.,9994,"{""2024-08-05"": 9994}",True,517.3800,95,66,SPY240913P00485000; DTE=39; delta=-0.24908; IV=0.34658; |Δ error|=0.00092; |DTE−30|=9,SPY240913C00547500; DTE=39; delta=0.25062; IV=0.21975; |Δ error|=0.00062; |DTE−30|=9,{},{},"{""DTE_outside_21_45"": 9192, ""delta_outside_tolerance"": 641}",
2023-10-27,Tensión: venta de renta variable de octubre de 2023.,8246,"{""2023-10-27"": 8246}",True,410.6800,50,52,SPY231208P00394000; DTE=42; delta=-0.24959; IV=0.21975; |Δ error|=0.00041; |DTE−30|=12,SPY231201C00427500; DTE=35; delta=0.2493; IV=0.16122; |Δ error|=0.0007; |DTE−30|=5,{},{},"{""DTE_outside_21_45"": 7340, ""delta_outside_tolerance"": 804}",
2022-06-13,Tensión: ajuste por inflación y tipos de interés.,9226,"{""2022-06-13"": 9226}",True,375.0000,57,106,SPY220722P00350000; DTE=39; delta=-0.25032; IV=0.34658; |Δ error|=0.00032; |DTE−30|=9,SPY220705C00393000; DTE=22; delta=0.25124; IV=0.26853; |Δ error|=0.00124; |DTE−30|=8,{},{},"{""DTE_outside_21_45"": 7604, ""delta_outside_tolerance"": 1459}",
2021-11-26,Tensión: reacción inicial a la variante Ómicron.,10076,"{""2021-11-26"": 10076}",True,458.9700,183,78,SPY220107P00431000; DTE=42; delta=-0.2502; IV=0.2978; |Δ error|=0.0002; |DTE−30|=12,SPY220107C00476000; DTE=42; delta=0.24773; IV=0.15146; |Δ error|=0.00227; |DTE−30|=12,{},{},"{""DTE_outside_21_45"": 7858, ""delta_outside_tolerance"": 1957}",
