date,open,high,low,close,adjusted_close,volume,dividend_amount,split_coefficient
2020-03-02,298.21,309.16,294.46,309.09,280.8760311705053,237377617,0.0000,1.0
2020-03-03,309.5,313.84,297.57,300.24,272.83386585988717,298851919,0.0000,1.0
2020-03-04,306.12,313.1,303.33,312.86,284.3019027209043,175893889,0.0000,1.0
2020-03-05,304.98,308.47,300.01,302.46,274.8512225818727,185533970,0.0000,1.0
2020-03-06,293.15,298.78,290.23,297.46,270.30762636118453,228315219,0.0000,1.0
2020-03-09,275.3,284.19,273.45,274.23,249.198078319867,305980554,0.0000,1.0
2020-03-10,284.64,288.52,273.5,288.42,262.09280439418023,274894230,0.0000,1.0
2020-03-11,280.7,281.94,270.88,274.36,249.3162118216049,254604444,0.0000,1.0
2020-03-12,256.0,266.66,247.68,248.11,225.46233166299166,389612072,0.0000,1.0
2020-03-13,263.09,271.48,248.52,269.32,244.73626683115114,326142197,0.0000,1.0
2020-03-16,241.18,256.9,237.36,239.85,217.95631070641465,295019288,0.0000,1.0
2020-03-17,245.04,256.17,237.07,252.8,229.72422491799722,260566279,0.0000,1.0
2020-03-18,236.25,248.37,228.02,240.0,218.09261859303533,324845381,0.0000,1.0
2020-03-19,239.25,247.38,232.22,240.51,218.5560654075455,288124389,0.0000,1.0
2020-03-20,242.53,244.47,228.5,228.8,209.19222157076456,344276957,1.4056,1.0
2020-03-23,228.19,229.68,218.26,222.95,203.84355681469387,323100167,0.0000,1.0
2020-03-24,234.42,244.1,233.8,243.15,222.31245050232258,233038623,0.0000,1.0
2020-03-25,244.87,256.35,239.75,246.79,225.64050857276655,297989659,0.0000,1.0
2020-03-26,249.52,262.8,249.05,261.2,238.8155956043868,256107410,0.0000,1.0
2020-03-27,253.27,260.81,251.05,253.42,231.70232862964664,223871285,0.0000,1.0
2020-03-30,255.7,262.43,253.53,261.65,239.22703135485378,171274407,0.0000,1.0
2020-03-31,260.56,263.33,256.22,257.75,235.66125485080667,193290928,0.0000,1.0
2020-04-01,247.98,257.66,243.9,246.15,225.05535550543573,188373330,0.0000,1.0
2020-04-02,245.19,252.68,244.59,251.83,230.2485889779967,176669824,0.0000,1.0
2020-04-03,250.76,253.32,245.22,248.19,226.9205309075527,134538553,0.0000,1.0
2020-04-06,257.84,267.0,248.17,264.86,242.1619397081849,186692564,0.0000,1.0
2020-04-07,274.21,275.03,264.89,265.13,242.40880115846505,199187791,0.0000,1.0
2020-04-08,267.96,276.0,265.25,274.03,250.54608600103413,152670223,0.0000,1.0
2020-04-09,277.58,281.2,275.47,278.2,254.35872395536143,189948139,0.0000,1.0
2020-04-13,277.14,277.51,271.41,275.66,252.0363977193923,114353986,0.0000,1.0
2020-04-14,280.98,284.9,275.51,283.79,259.46967027782904,133510280,0.0000,1.0
2020-04-15,277.57,283.94,275.46,277.76,253.9564312215715,121155983,0.0000,1.0
2020-04-16,279.15,280.03,275.76,279.1,255.1815954562954,126144324,0.0000,1.0
2020-04-17,285.38,287.3,282.4,286.64,262.0754300307865,146455688,0.0000,1.0
2020-04-20,282.61,286.79,281.35,281.59,257.4582066088793,99323028,0.0000,1.0
2020-04-21,276.73,278.04,272.02,273.04,249.64092735000682,125772551,0.0000,1.0
2020-04-22,278.35,281.0,276.91,279.1,255.1815954562954,92831657,0.0000,1.0
2020-04-23,280.49,283.94,278.75,279.08,255.1633094229413,103685412,0.0000,1.0
2020-04-24,280.73,283.7,278.5,282.97,258.71994291031143,85042563,0.0000,1.0
2020-04-27,285.12,288.27,284.62,287.05,262.4502937145453,77516422,0.0000,1.0
2020-04-28,291.02,291.4,285.4,285.73,261.24341551317553,104797847,0.0000,1.0
